"Gene","ShortDescription","GeneSymbol","R2","adj_R2","coef_intercept","coef_SA","coef_JA","coef_SA.JA","FDR_SA","FDR_JA","FDR_SA.JA","Category"
"AT1G01020","Arv1-like protein","ARV1",0.071566204140845,0.0251445143478872,2.65796171917434,-0.0351318590600956,-0.160264173438511,0.141418888257075,0.802695083214581,0.190991747268637,0.589950519997911,"Not_explained"
"AT1G01030","AP2/B3-like transcriptional factor family protein","NGA3",0.197175002647294,0.157033752779658,2.17796596113481,0.0287729331759245,0.357866777534706,-0.15864290627641,0.842954212802306,0.00306356235531848,0.536446332796905,"JA↑"
"AT1G01040","dicer-like 1","ASU1, ATDCL1, CAF, DCL1, EMB60, EMB76, SIN1, SUS1",0.109098092307791,0.0645529969231802,2.85961954884244,-0.137590882615703,0.158216290099656,-0.0206739574404262,0.143338951131725,0.0903314899461887,0.952437041892097,"Not_explained"
"AT1G01050","pyrophosphorylase 1","AtPPa1, PPa1",0.245146508998301,0.207403834448216,6.96226239436383,-0.0616593997600494,-0.0824653979119668,0.0122943731856947,0.0265207633032814,0.00301032391052017,0.890676126126615,"SA↓JA↓"
"AT1G01060","Homeodomain-like superfamily protein","LHY, LHY1",0.00535138942510221,-0.0443810411036427,2.51965228963062,0.0346875612018817,0.035146496445857,-0.0342101528748333,0.815190346115898,0.808594279370193,0.941364142897431,"Not_explained"
"AT1G01080","RNA-binding (RRM/RBD/RNP motifs) family protein","",0.487325388751542,0.461691658189119,4.82565761441619,-0.445441860318548,-0.262708783037321,0.14492746305496,5.4928633450138e-07,0.00181290530639562,0.372977020858044,"SA↓JA↓"
"AT1G01090","pyruvate dehydrogenase E1 alpha","PDH-E1 ALPHA",0.229168218325929,0.190626629242225,6.13104783073688,0.0614831635998921,0.161210976759082,-0.0433992092150252,0.233620135258117,0.00125381190143629,0.734519153793725,"JA↑"
"AT1G01100","60S acidic ribosomal protein family","",0.631174249901184,0.612732962396244,10.0543056589342,-0.172198966526444,-0.149164502378335,0.0204832013507624,6.2146357278636e-09,1.85485179453214e-07,0.774582205530367,"SA↓JA↓"
"AT1G01120","3-ketoacyl-CoA synthase 1","KCS1",0.12406930925535,0.0802727747181179,2.41265870037155,-0.0980505189533694,0.00216157366622624,0.302507758017045,0.480667509327413,0.989563829210428,0.177440912735885,"Not_explained"
"AT1G01140","CBL-interacting protein kinase 9","CIPK9, PKS6, SnRK3.12",0.618737719065024,0.599674605018275,5.91939862381436,-0.0013760627547419,0.378032123753756,-0.115553881360082,0.98205813731197,1.188522247322e-11,0.159390486939644,"JA↑"
